trip_id,departure,destination,duree
OCESN030360R0200218288,Barr,Strasbourg,89
OCESN030361R0200218289,Molsheim,Sélestat,76
OCESN030376R0500518295,Rothau,Strasbourg,72
OCESN030380R0200218297,Saales,Strasbourg,104
OCESN030385R0300318299,Altkirch,Mulhouse,25
OCESN030386R0300318300,Belfort-Ville,Mulhouse,77
OCESN030387R0200218301,Belfort-Ville,Montreux-Vieux,30
OCESN030395R0200218303,Sélestat,Ribeauville-Gare-Routiè,20
OCESN030399R0300318309,Sélestat,Riquewihr-Poste,36
OCESN030427R1401418342,Sélestat,Ste-Marie-/-Mines-Maire,35
OCESN030428R1301318344,St-Dié-des-Vosges,Sélestat,71
OCESN030430R0600618347,Sélestat,Ste-Marie/-Ms-(-Théâtre,36
OCESN030433R0300318351,Ste-Croix/Mines-Sq-de-G,Sèlestat-(Schwilgué),55
OCESN030434R1401418352,Sélestat,Ste-Marie-/-Ms-Pl-.CdG,35
OCESN030435R0600618353,Ste-Marie-/-Mines-Maire,Sèlestat-(Schwilgué),64
OCESN030437R0300318355,Liepvre-(-R.-GUTH-),Sèlestat-(Schwilgué),49
OCESN030440R0400418359,Ste-Marie-/-Ms-Pl-.CdG,Sélestat-(Schweisguth),69
OCESN030441R0400418360,Sélestat,Lièpvre-(Rte-Vancelle),45
OCESN031100R0300318408,Montluçon-Ville,Vierzon,125
OCESN031101R0200218409,Laqueuille,Le-Mont-Dore-Gare,24
OCESN031102R0200218410,Clermont-Ferrand,Gannat,57
OCESN031103R0200218411,Gannat,Riom-Châtel-Guyon,46
OCESN031106R0300318414,Aurillac,St-Denis-près-Martel,111
OCESN031107R0300318415,Aurillac,Capdenac,88
OCESN031109R0200218416,Montluçon-Ville,Vichy,108
OCESN031110R0300318417,Clermont-Ferrand,Le-Mont-Dore-Gare,84
OCESN031111R0200218418,Clermont-Ferrand,Saint-Etienne-Chtx GR,156
OCESN031113R0300318421,Thiers,Saint-Etienne-Chtx GR,118
OCESN031117R0300318425,Clermont-Ferrand,Le Puy-en-Velay,184
